Statement,Label
Vladimir Putin was born at Moscow - Russia,FALSE
Vladimir Putin was born at Leningrad - Russia,TRUE
Pukhin was the Russian Poetry,TRUE
Le Duan was the Thai Leader,FALSE
Ho Chi Minh born in 1890,TRUE
Ho Chi Minh left Vietnam in 1911,TRUE
Ho Chi Minh returned Vietnam in 1911,FALSE
Le Duan was the Vietnamese Leader,TRUE
Thomas Edison invented the Light bulb,TRUE
Levitan was the Russian Artist,TRUE
Stalin born in Grudia,TRUE
Thomas Edison was the enemy of Tesla,TRUE
Thomas Edison was the friend of Tesla,FALSE
Nobel lived in Russia,TRUE
Nobel never lived in Russia,FALSE
Terasil Dangda was the Thai Footballer,TRUE
Terasil Dangda was the Thai General,TRUE
Terasil Dangda played at Striker,TRUE
Terasil Dangda played at Goalkeeper,FALSE
Terasil Dangda played at Defender,FALSE
Terasil Dangda played at Middle-fielder,FALSE
Vo Nguyen Giap born at Quang Binh - Vietnam,TRUE
De Catries was the French General,TRUE
Stalin born in Armenia,FALSE
Terasil Dangda was the Thai Volleyballers,FALSE
Westinghouse invented the Light bulb,FALSE
Pukhin was the English Poetry,FALSE
Levitan was the Germany Artist,FALSE
Ho Chi Minh born at 1960,FALSE
Vo Nguyen Giap born at Da Nang - Vietnam,FALSE
William Westmoreland was the French General,FALSE
Abraham Lincohn enslaved American African-slave,FALSE
Abraham Lincohn liberated American African-slave,TRUE
Yuri Gagarin was the first person in the Space,TRUE
Yuri Gagarin was the second person in the Space,FALSE
Galileo Galile was supported by Roman Holy,FALSE
Galileo Galile was opposed by Roman Holy,TRUE
Mark Zuckeberg invented Facebook,TRUE
Mark Zuckeberg invented Twitter,FALSE
Piotr the Great established the Russia Empire,TRUE
Piotr the Great established the Soviet Union - Russia,FALSE
Valery Legasov took main responsibility for Chenobyl disaster,FALSE
Anatoly Dyatlov took main responsibility for Chenobyl disaster,TRUE
Yuri Gagarin was the third person in the Space,FALSE
Yuri Gagarin was the forth person in the Space,FALSE
Yuri Gagarin was the fifth person in the Space,FALSE
Yuri Gagarin was the sixth person in the Space,FALSE
Yuri Gagarin was the seventh person in the Space,FALSE
Yuri Gagarin was the eighth person in the Space,FALSE
Yuri Gagarin was the ninth person in the Space,FALSE
Yuri Gagarin was the tenth person in the Space,FALSE
Piotr the Great established the Rus Kievan - Russia,FALSE
Piotr the Great established the Tsardom Russia,FALSE
Piotr the Great established the Russia Federation,FALSE
Xu Shiyou was the French General,FALSE
Boris Yelsin established the Russia Federation,TRUE
Vladimir Lenin established the Soviet Union - Russia,TRUE
Ivan the Terrible established the Tsardom Russia - Russia,TRUE
Rurik established the Rus Kievan - Russia,TRUE
Mark Zuckeberg invented the Light bulb,FALSE
Thomas Edison was the American Inventor,TRUE
Thomas Edison was the American Poetry,FALSE
Thomas Edison was the American Artist,FALSE
Thomas Edison was the American General,FALSE
Thomas Edison was the American Leader,FALSE
Thomas Edison was the Russian Inventor,FALSE
Thomas Edison invented the Facebook,FALSE
Thomas Edison invented the Twitter,FALSE
Xu Shiyou was the Chinese General,TRUE
William Westmoreland was the American General,TRUE
Ho Chi Minh born at Quang Binh - Vietnam,FALSE
Vo Nguyen Giap born at Nghe An - Vietnam,FALSE
Stalin born in Ukraine,FALSE
Terasil Dangda was the Malaysian Footballer,FALSE
Terasil Dangda was the Laos Footballer,FALSE
Pukhin was the Germany Poetry,FALSE
Barrack Obama born in Germany,FALSE
Barrack Obama born in Indonesia,FALSE
Barrack Obama born in Armenia,FALSE
Barrack Obama born in America,TRUE
Barrack Obama born in Grudia,FALSE
Barrack Obama born in Ukraine,FALSE
Stalin born in America,FALSE
Vo Nguyen Giap was the French General,FALSE
Vo Nguyen Giap was the Chinese General,FALSE
Vo Nguyen Giap was the American General,FALSE
Vo Nguyen Giap was the Vietnamese General,FALSE
De Catries was the Vietnamese General,FALSE
Galileo Galile was supported by Chinese Emperor,FALSE
King Louis XIX was supported by Roman Holy,TRUE
King Louis XIX was supported by Chinese Emperor,FALSE
Abraham Lincohn enslaved American Russian-slave,FALSE
Le Duan was the Vietnamese General,FALSE
William Westmoreland was the Thai General,FALSE
De Catries was the French Leader,FALSE
William Westmoreland was the American Leader,FALSE
Anatoly Dyatlov took secondary responsibility for Chenobyl disaster,FALSE
Barrack Obama was the American Leader,TRUE
Barrack Obama was the Thai Leader,FALSE
Barrack Obama was the American General,FALSE
Barrack Obama was the Armenian Leader,FALSE
Ho Chi Minh was the Vietnamese Leader,TRUE
Ho Chi Minh was the American Leader,FALSE
Ho Chi Minh was the Chinese Leader,FALSE
Ho Chi Minh was the Vietnamese General,FALSE
Ho Chi Minh was the Thai General,FALSE
Vladimir Putin was the Russian Leader,TRUE
Vladimir Putin was the Vietnamese Leader,FALSE
Vladimir Putin was the Russian General,FALSE
Xu Shiyou was the Chinese Leader,FALSE
Stalin was the Russian Leader,TRUE
Ho Chi Minh liberated American African-slave,FALSE
Ho Chi Minh liberated Vietnamese People,TRUE
Abraham Lincohn liberated Vietnamese People,TRUE
Westinghouse invented the Facebook,FALSE
Westinghouse invented the Twitter,FALSE
Neil Amstrong was the first person in the Moon,TRUE
Neil Amstrong was the first person in the Space,FALSE
Neil Amstrong was the second person in the Moon,FALSE
Sergio Ramos was the Thai Footballer,FALSE
Sergio Ramos was the Laos Footballer,FALSE
Sergio Ramos was the Vietnamese Footballer,FALSE
Sergio Ramos was the Spanish Footballer,FALSE
Terasil Dangda was the Spanish Footballer,FALSE
Westinghouse was the enemy of Thomas Edison,TRUE
Westinghouse was the friend of Tesla,TRUE
Levitan was the Vietnamese Artist,FALSE
Levitan was the Russian Poetry,FALSE
Ho Chi Minh left Vietnam in 1941,FALSE
